name,address,lat,long,links,still there? ,,type
"1 China Walk, Lambeth",1 China Walk,51.495397,-0.1126751,https://books.google.co.uk/books?id=wqJbAAAAQAAJ&pg=PA225&dq=1+china+walk+lambeth&hl=en&sa=X&ved=0CC8Q6AEwAmoVChMI9YDjrI73xgIVRBfbCh0s0gNW#v=onepage&q=1%20china%20walk%20lambeth&f=false,,,pub
"Acorn, Chelsea",College Street,51.481777,-0.1845477,,not sure,,coffee house
"Albion Coffee House, Shoreditch",3 Church Street,51.5172361,-0.1032761,http://www.albioncaff.co.uk/location/,still there? ,,coffee house
Archery Rooms,"26 Bath place, New Road",51.5232372,-0.1377315,http://crowd.museumoflondon.org.uk/lsv1840/thoroughfare/5/tottenham_court_road/division1,,,other
"Bayley's Temperance Coffee House, Rotherhithe",Church Passage,51.501357,-0.053122,,,,coffee house
"Bailey's Coffee Rooms, Seven Dials",Little Compton Street,51.514083,-0.129028,,,,coffee house
"Black Bull inn, Hammersmith",Hammersmith Road,51.4943826,-0.217499,http://www.closedpubs.co.uk/london/w14_westkensington.html,,,pub
Black Eagle,23 Parish Street,51.501266,-0.076318,http://pubshistory.com/LondonPubs/SouthwarkStJohn/BlackEagleTap.shtml,,,pub
"Black Horse and Windmill, Whitechapel",5 Fieldgate Street,51.5170329,-0.0660261,http://pubshistory.com/LondonPubs/Whitechapel/BlackHorse.shtml,,,pub
"Black Swan, Spitalfields",Browns Lane,51.520327,-0.072229,"http://www.1790salehouse.com/2009/05/black-swan-spitalfields.html, http://www-groups.dcs.st-and.ac.uk/history/Societies/Spitalfields.html",,,
Bricklayers Arms,Turnham Green,51.4927107,-0.2661061,http://www.pubology.co.uk/pubs/11853.html,,,pub
"Bricklayers Arms, Somers Town","Tonbridge Street, New Road",51.5282528,-0.1241921,http://pubshistory.com/LondonPubs/StPancras/BricklayersArmsClarendon.shtml,,,pub
"Britannia Coffee House, West Smithfield",Long Lane,51.5192322,-0.1020952,,,,
Britannia Coffee House,Waterloo Road,51.5008559,-0.1080875,,not sure where - possibly same as Hall of Science?,,coffee house
"Britannia, Upper Chapman-street, St. George's East",,51.5121971,-0.0573278,http://pubshistory.com/LondonPubs/StGeorgeEast/BrittaniaMorris.shtml,,,pub
"Brown Bear, Southwark",Bridge Road,51.506094,-0.0957052,http://pubshistory.com/LondonPubs/SouthwarkStSaviour/BrownBear.shtml,,,pub
Buck's Head,Chilton Street?,51.5249983,-0.0701544,,,,pub
"Cannon Coffee House, Finsbury",Old Street,51.524702,-0.094361,,,,coffee house
Carpenters Arms,Brick Lane,51.5239026,-0.0673992,http://spitalfieldslife.com/2009/10/22/gangster-pub/,,,pub
"Charter Coffee House, Westminster",Stretton Ground,51.4975204,-0.1339281,,,,coffee house
"Charter Coffee House, Paddington",Edgware Road,51.5183804,-0.1720846,,not sure where,,coffee house
"Chartist Assembly Rooms, Wandsworth",Frogmore,51.4593086,-0.1966503,,,,own rooms
Chartist Ground,Vauxhall,51.490843,-0.120185,,,,own rooms
Chartist Hall,"Star Street, Commercial Road",51.507238,-0.052741,http://www.mernick.org.uk/thhol/raglon03.html,,,own rooms
"Chartist Hall, Blackfriars",115 Blackfriars Road,51.501057,-0.10459,,,,own rooms
"Chartist Hall, Brick Lane","Grey Eagle Street, Brick Lane",51.5218314,-0.0732977,http://gerald-massey.org.uk/bezer/,,,own rooms
"Cheshire Cheese, Somerstown",20 Philip's Buildings,51.5299208,-0.1279282,"http://www.pubology.co.uk/pubs/3633.html, http://discovery.nationalarchives.gov.uk/details/r/C6624805",site of the BL!,,pub
"Clock House, Leicester Square","Castle Street, Leicester Square",51.5101773,-0.1302418,http://pubshistory.com/LondonPubs1884/London1884O.shtml,,,pub
"Cock Tavern, Camberwell",3 Denmark Hill,51.4731758,-0.0931447,http://pubshistory.com/LondonPubs/Camberwell/Cock.shtml,,,pub
Colonade,Brunswick Square,51.524167,-0.1225,,,,pub
Cornish Coffee House,66 Bunhill Row,51.5219323,-0.0898243,,,,coffee house
Craven's Head,Drury Lane,51.513056,-0.116389,http://www.pascalbonenfant.com/18c/clubs/jt_thecravenheaddrurylane.html,,,pub
Crown and Anchor/Norfolk Arms,Cheshire Street,51.5236249,-0.0698263,http://pubshistory.com/LondonPubs/BethnalGreen/CrownAnchor.shtml,,,pub
Crown and Anchor,Strand,51.5117843,-0.1142785,http://www.1790salehouse.com/2009/05/crown-and-anchor-strand.html,,,pub
"Crown and Anchor, Farringdon",Bear Alley,51.5160445,-0.1038978,,,,pub
"Crown and Anchor, Newington",Cross Street,51.539079,-0.1010328,http://pubshistory.com/LondonPubs/Islington/CrownAnchor.shtml,building still there,,pub
"Crown Coffee House, Regent Street",Beak Street,51.512627,-0.137514,http://londonist.com/2012/12/london-beer-quest-the-old-coffee-house-soho,"still there, round corner from Red Lion",,coffee house
"Delegate Committee Rooms, 24, Hunt Street.",,51.5259302,-0.1236529,,not sure,,own rooms
Dispatch,Bride Lane,51.513914,-0.105093,,,,pub
"Dun Cow, Hammersmith",Brook Green Lane,51.4962425,-0.2201102,,,,pub
"Eagle Coffee House, Borough",Guildford Street,51.5037958,-0.0965501,,not sure where,,coffee house
"Eagle, Marylebone",North Street,51.5176058,-0.1506844,http://pubshistory.com/LondonPubs/Marylebone/GoldenEagle.shtml,possibly this one?,,pub
"Falcon Tavern, Bethnal Green",Essex Street,51.5263617,-0.0659316,,,,
"Feathers, St Pancras",Warren Street,51.5242774,-0.1384081,http://www.theprinceofwalesfeathersw1.co.uk/,still there,,pub
Flora Tavern,Barnsbury Park,51.5429979,-0.1089589,,,,pub
Fox and Hounds,37 Hare Street,51.4932345,-0.0636215,http://pubshistory.com/LondonPubs/BethnalGreen/FoxHounds.shtml,,,pub
"George and Dragon, Blackheath",2 Blackheath Hill,51.4728995,-0.015205,http://www.georgedragon.com/,still there,,pub
"Gloucester's Coffee House, Shoreditch",49 Church Street,51.5192714,-0.0723169,,,,coffee house
Goat in Boots,"Brook Street, New Road",51.526607,-0.1408867,http://pubshistory.com/LondonPubs/StPancras/GoatinBoots.shtml,,,pub
"Goldbeater's Arms, Somerstown",Old Saint Pancras Road,51.534999,-0.131596,,,,pub
"Golden Arms, Golden-place, Old Bethnal-green-road, at the bottom of Pollard s-row",,51.528476,-0.06398,,,,pub
"Golden Lion, Soho",Dean Street,51.5125274,-0.1315594,http://www.taylor-walker.co.uk/pub/golden-lion-chinatown/s5307/,still there,,pub
"Globe, Southwark",Borough Road,51.4988598,-0.1047832,http://pubshistory.com/LondonPubs/SouthwarkStGeorgeMartyr/GlobeBorough.shtml,,,
Great Western railway station,,51.516421,-0.17811,,,,open space
"Greyhound, Peckham",,51.4741063,-0.0684908,http://www.beerintheevening.com/pubs/s/27/27088/Greyhound/Peckham,still there,,pub
"Grotto Coffee House, St Paul's",Old Fish Street,51.5125,-0.0975,,not sure where,,coffee house
Hall of the National Association,"242A, High Holborn",51.517691,-0.1188861,,,,own rooms
"Halifax Arms, Mile End",King Edward Street,51.5186215,-0.0690852,http://pubshistory.com/LondonPubs/MileEnd/HalifaxArms.shtml,,,pub
Harvey's Temperance Rooms,Bow,51.5298,-0.0288,,not sure where,,coffee house
"Highbury Barn Tavern, Islington",,51.5534856,-0.1001182,http://www.thehighburybarnpub.co.uk/,still there,,
"Hit or Miss, Globe Fields","79 West Street, Devonshire Street, Dog Row",51.523287,-0.054737,,,,pub
Hopkinson's Coffee House,Little Saffron Hill,51.520167,-0.106642,,,,coffee house
