Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type Metadata:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"LEEDS. - Lectures will be delivered in the Chartist Room, Fish Shambles, to-morrow, at half-past two in the afternoon, and six in the evening; and on Monday night, at eight o'clock.",,Leeds,53.7974185,-1.5437941,7,Northern Star,13/02/1841,Meeting,,,15/02/1841
"HALIFAX. - The Council meets in the room, Brunswick-street, on Monday evening, at seven, to receive the report of the West Riding delegate meeting.",,Halifax,53.725,-1.863,7,Northern Star,13/02/1841,Meeting,,,15/02/1841
"SHEFFIELD. - A meeting of shareholders in the projected building for the public purposes of working men, for agreeing to rules, and paying deposits, is to be held on Monday, in the Association Room, Porter-street, at seven o'clock. -Mr, R. Olby will deliver a lecture in the Association Room, 1 Porter-street, on Sunday evening, concerning the death of John Clayton.",,Sheffield,53.3806626,-1.4702278,7,Northern Star,13/02/1841,Meeting,,,14/02/1841
"NEWCASTLE-UPON-TYNE. - Dr. P. M. McDouall, the people's friend, will deliver two lectures on the ""Rights of Labour,"" in the Joiners' Hall, on Friday evening, the 12th, and Saturday, the 13th, at half-past seven o'clock each night. Dr. McDouall will likewise deliver a discourse in Byker Buildings School Room, Osseburn, on Sunday, the 14th, at ten o'clock in the morning; and in the Joiners' Hall, Newcastle, at two o'clock in the afternoon of the same day. All members of Trades Unions are respectfully requested to attend. The sum of twopence each will be taken at the door, to defray expences.",,Newcastle-upon-tyne,54.9770924,-1.6142059,7,Northern Star,13/02/1841,Meeting,,,19/02/1841
"BIRMINGHAM. - Mr. Taylor will deliver a lecture at the Hall of Science, Lawrence-street, on Sunday next.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,13/02/1841,Meeting,,,14/02/1841
"OLDHAM. - On Sunday next (to-morrow), a lecture will be delivered in the afternoon, by Mr. James Greaves, of Austerlands; and in the evening, a sermon will be preached by Mr. Abel Swan, of Ashton-under-Lyne, in the Chartist Association Room, Greaves-street.",,Oldham,53.5415797,-2.1147831,7,Northern Star,13/02/1841,Meeting,,,14/02/1841
"BATH. - On Sunday evening next, Mr. C. Bolwell will lecture in the Chartist Room, on ""The Science of Government.""",,Bath,51.3813864,-2.3596963,7,Northern Star,13/02/1841,Meeting,,,14/02/1841
"BRADFORD.   On Monday next, a lecture will be delivered to the Chartists, on   the encroach ments made by Government on the liberties of the people, and on the policy of opposing the crotchets of all sham reformers. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,20/02/1841,Meeting,,,22/02/1841
"STOCKTON.   Dr. M Douall is expected to lecture at Stockton-upon-Tees, in the Association Room, on Monday next.",,Stockton,54.57,-1.32,7,Northern Star,20/02/1841,Meeting,,,22/02/1841
"DURHAM.   Mr. Deegan will lecture as follows, the ensuing week: On Sunday morning, the 21st, at Blaydon, and in the evening at Gates head; Monday, 22nd, at Hartlepool; Tuesday, 23rd, at Middlesborough; Thursday, 25th, at Darlington; Saturday, 27th, at West Auckland; Sunday, 28th, at Evenwood, in the morning, and at Staindrop, at three in the afternoon of the same day.",,Durham,54.7764152,-1.5758539,7,Northern Star,20/02/1841,Meeting,,,21/02/1841
