newspaper,date,page,column,img filename,OCR file name,,,
Northern Star,13/02/1841,8,,02_13_1841_p8_FM.jpg,02_13_1841_p8_FM.txt,,,
Northern Star,20/02/1841,8,,02_20_1841_p8_FM.jpg,02_20_1841_p8_FM.txt,,,
Northern Star,27/02/1841,no column?,,,,,,
Northern Star,06/03/1841,5,,03_06_1841_p5_FM.jpg,03_06_1841_p5_FM.txt,,,
Northern Star,13/03/1841,5,,03_13_1841_p5_FM.jpg,03_13_1841_p5_FM.txt,,,
Northern Star,20/03/1841,5,,03_20_1841_p5_FM.jpg,03_20_1841_p5_FM.txt,,,
Northern Star,27/03/1841,5,,03_27_1841_p5_FM.jpg,03_27_1841_p5_FM.txt,,,
Northern Star,03/04/1841,5,,04_03_1841_p5_FM_needscropping.jpg,04_03_1841_p5_FM.txt,,,
Northern Star,10/04/1841,5,,04_10_1841_p5_FM.jpg,04_10_1841_p5_FM.txt,,,
Northern Star,17/04/1841,5,,04_17_1841_p5_FM.jpg,04_17_1841_p5_FM.txt,,,
Northern Star,24/04/1841,8,,04_24_1841_p8_FM_needscropping.jpg,04_24_1841_p8_FM.txt,,,
Northern Star,01/05/1841,8,,05_01_1841_p8_FM_needscropping.jpg,05_01_1841_p8_FM.txt,,,
Northern Star,08/05/1841,5,,05_08_1841_p5_FM.jpg,05_08_1841_p5_FM.txt,,,
Northern Star,15/05/1841,8,,05_15_1841_p8_FM_needscropping.jpg,05_15_1841_p5_FM.txt,,,
Northern Star,22/05/1841,8,,05_22_1841_p8_FM.jpg,05_22_1841_p8_FM.txt,,,
Northern Star,29/05/1841,no column?,,,,,,
Northern Star,05/06/1841,no column?,,,,,,
Northern Star,12/06/1841,6,,06_12_1841_p6_FM.jpg,06_12_1841_p6_FM.txt,,,
Northern Star,19/06/1841,5,,06_19_1841_p5_FM.jpg,06_19_1841_p5_FM.txt,,,
Northern Star,26/06/1841,8,,06_26_1841_p8_FM.jpg,06_26_1841_p8_FM.txt,,,
Northern Star,03/07/1841,8,,07_03_1841_p8_FM.jpg,07_03_1841_p8_FM.txt,,,
Northern Star,10/07/1841,no column?,,,,,,
Northern Star,17/07/1841,5,,07_17_1841_p5_FM.jpg,07_17_1841_p5_FM.txt,,,
Northern Star,24/07/1841,5,,07_24_1841_p5_FM.jpg,07_24_1841_p5_FM.txt,,,
Northern Star,31/07/1841,8,,07_31_1841_p8_FM.jpg,07_31_1841_p8_FM.txt,,,
Northern Star,07/08/1841,8,,08_07_1841_p8_FM.jpg,08_07_1841_p8_FM.txt,,,
Northern Star,14/08/1841,1,,08_14_1841_p1_FM_needscropping.jpg,08_14_1841_p1_FM.txt,,,
Northern Star,21/08/1841,1,,08_21_1841_p1_FM.jpg,08_21_1841_01_FM.txt,,,
Northern Star,28/08/1841,5,,08_28_1841_p5_FM.jpg,08_28_1841_p5_FM.txt,,,
Northern Star,04/09/1841,1,,09_04_1841_p1_FM.jpg,09_04_1841_p1_FM.txt,,,
Northern Star,11/09/1841,8,,09_11_1841_p8_FM.jpg,09_11_1841_p8_FM.txt,,,
Northern Star,18/09/1841,5,,09_18_1841_p5_FM.jpg,09_18_1841_p5_FM.txt,,,
Northern Star,25/09/1841,8,,09_25_1841_p8_FM_needscropping.jpg,09_25_1841_p8_FM.txt,,,
Northern Star,02/10/1841,5,,10_02_1841_p5_FM_needscropping.jpg,10_02_1841_p5_FM.txt,,,
Northern Star,09/10/1841,8,,10_09_1841_p8_FM_needscropping.jpg,10_09_1841_p8_FM.txt,,,
Northern Star,16/10/1841,8,,10_16_1841_p8_FM.jpg,10_16_1841_p8_FM.txt,,,
Northern Star,23/10/1841,5,,10_23_1841_p5_FM_needscropping.jpg,10_23_1841_p5_FM.txt,,,
Northern Star,30/10/1841,5,,10_30_1841_p5_FM_needscropping.jpg,10_30_1841_p5_FM.txt,,,
Northern Star,06/11/1841,5,,11_06_1841_p5_FM_needscropping.jpg,11_06_1841_p5_FM.txt,,,
Northern Star,13/11/1841,5,,11_13_1841_p5_FM_needscropping.jpg,11_13_1841_p5_FM.txt,,,
Northern Star,20/11/1841,8,,11_20_1841_p8_FM_needscropping.jpg,11_20_1841_p8_FM.txt,,,
Northern Star,27/11/1841,8,,11_27_1841_p8_FM_needscropping.jpg,11_27_1841_p8_FM.txt,,,
Northern Star,04/12/1841,8,,12_04_1841_p8_FM_needscropping.jpg,12_04_1841_p8_FM.txt,,,
Northern Star,11/12/1841,8,,12_11_1841_p8_FM.jpg,12_11_1841_p8_FM.txt,,,
Northern Star,18/12/1841,8,,12_18_1841_p8_FM_needscropping.jpg,12_18_1841_p8_FM.txt,,,
Northern Star,24/12/1841,8,,12_24_1841_p8_FM_noteFriday.jpg,12_24_1841_p8_FM.txt,,,
Northern Star,01/01/1842,8,,,01_01_1842_p8_FM.txt,,,
Northern Star,08/01/1842,5,,,01_08_1842_p5_FM.txt,,,
Northern Star,15/01/1842,8,,,01_15_1842_p8_FM.txt,,,
Northern Star,22/01/1842,8,,,01_22_1842_p8_FM.txt,,,
Northern Star,29/01/1842,8,,,01_29_1842_p8_FM.txt,,,
Northern Star,05/02/1842,8,,,02_05_1842_p8_FM.txt,,,
Northern Star,12/02/1842,1,,,02_12_1842_p1_FM.txt,,,
Northern Star,19/02/1842,8,,,02_19_1842_p8_FM.txt,,,
Northern Star,26/02/1842,8,,,02_26_1842_p8_FM.txt,,,
Northern Star,05/03/1842,4,,,03_05_1842_p4_FM.txt,,,
Northern Star,12/03/1842,8,,,03_12_1842_p8_FM.txt,,,
Northern Star,19/03/1842,4,,,03_19_1842_p4_FM.txt,,,
Northern Star,26/03/1842,8,,,03_26_1842_p8_FM.txt,,,
Northern Star,02/04/1842,8,,,04_02_1842_p8_FM.txt,,,
Northern Star,09/04/1842,8,,,04_09_1842_p8_FM.txt,,,
Northern Star,16/04/1842,8,,,04_16_1842_p8_FM.txt,,,
Northern Star,23/04/1842,5,,,04_23_1842_p5_FM.txt,,,
Northern Star,30/04/1842,8,,,04_30_1842_p8_FM.txt,,,
Northern Star,07/05/1842,7,,,05_07_1842_p7_FM.txt,,,
Northern Star,14/05/1842,8,,,05_14_1842_p8_FM.txt,,,
Northern Star,21/05/1842,8,,,05_21_1842_p8_FM.txt,,,
Northern Star,28/05/1842,8,,,05_28_1842_p8_FM.txt,,,
Northern Star,04/06/1842,8,,,06_04_1842_p8_FM.txt,,,
Northern Star,11/06/1842,8,,,06_11_1842_p8_FM.txt,,,
Northern Star,18/06/1842,8,,,06_18_1842_p8_FM.txt,,,
Northern Star,25/06/1842,8,,,06_25_1842_p8_FM.txt,,,
Northern Star,02/07/1842,8,,,07_02_1842_p8_FM.txt,,,
Northern Star,09/07/1842,8,,,07_09_1842_p8_FM.txt,,,
Northern Star,16/07/1842,8,,,07_16_1842_p8_FM.txt,,,
Northern Star,23/07/1842,8,,,07_23_1842_p8_FM.txt,,,
Northern Star,30/07/1842,8,,,07_30_1842_p8_FM.txt,,,
Northern Star,06/08/1842,8,,,08_06_1842_p8_FM.txt,,,
Northern Star,13/08/1842,8,,,08_13_1842_p8_FM.txt,,,
Northern Star,20/08/1842,8,,,08_20_1842_p8_FM.txt,,,
Northern Star,27/08/1842,8,,,08_27_1842_p8_FM.txt,,,
