Meeting:NewspaperText,Meeting:Date of meeting,Meeting:Place,Geolocation:latitude,Geolocation:longitude,Geolocation:zoom_level,Meeting:Newspaper,Dublin Core:Date,itemType
"LEEDS. - Lectures will be delivered in the Chartist Room, Fish Shambles, to-morrow, at half-past two in the afternoon, and six in the evening; and on Monday night, at eight o'clock.",,Leeds,53.7974185,-1.5437941,7,Northern Star,13/02/1841,Meeting
"HALIFAX. - The Council meets in the room, Brunswick-street, on Monday evening, at seven, to receive the report of the West Riding delegate meeting.",,Halifax,53.725,-1.863,7,Northern Star,13/02/1841,Meeting
"SOUTH LANCASHIRE. - Mr. Leech will lecture at the following places during the next week:-On Sunday evening, the 14th, at Salford; on Tuesday evening, the 16th, at Ashton; on Wednesday evening, at Heywood ; Thursday evening, 17th, at Mottram; and on Saturday evening, 19th, at Stockport.",,South Lancashire,53.8849416,-2.5758971,7,Northern Star,13/02/1841,Meeting
"The South Lancashire delegate meeting will be held on Sunday, the 21st, at the National Charter Association, Brown-street, contiguous to St. Andrew's Church, Travis's-street, Manchester. The Associations in the county are particularly requested to send delegates.",,"The South Lancashire Delegate Meeting Will Be Held On Sunday, The 21st, At The National Charter Association, Brown-street, Contiguous To St",,,7,Northern Star,13/02/1841,Meeting
"DURHAM. - County Missionary Tour,- Mr. Deegan will lecture the ensuing week as follows:   South Shields, Tuesday, 16th; Sunderland,- : Wednesday, 17th; Swalwell, Thursday, 18th; Winlaton, Sunday, 2lst, half-past ten in the morning; Blaydon, same day, three in the afternoon.",,Durham,54.7764152,-1.5758539,7,Northern Star,13/02/1841,Meeting
"SHEFFIELD. - A meeting of shareholders in the projected building for the public purposes of working men, for agreeing to rules, and paying deposits, is to be held on Monday, in the Association Room, Porter-street, at seven o'clock. -Mr, R. Olby will deliver a lecture in the Association Room, 1 Porter-street, on Sunday evening, concerning the death of John Clayton.",,Sheffield,53.3806626,-1.4702278,7,Northern Star,13/02/1841,Meeting
"MANCHESTER. - Mr. Abel Heywood will give a second lecture on phantasmagoria, for the benefit of the Manchester Local Victim Fund ; when  he will show a great variety of figures, and pledges himself to amuse all parties. Mr. Buchanan, the Social Missionary, will give a new phantasmagoria, in the Tib-strert Room, on Tuesday, Feb. 23rd, for the benefit of the wives and families of the Manchester imprisoned Chartists. It is hoped that all who wish to lend their aid in behalf of these persecuted individuals, will attend on the above evenings, as the admission is but one penny, and plenty of amusement.",,Manchester,53.4791466,-2.2447445,7,Northern Star,13/02/1841,Meeting
"NEWCASTLE-UPON-TYNE. - Dr. P. M. McDouall, the people's friend, will deliver two lectures on the ""Rights of Labour,"" in the Joiners' Hall, on Friday evening, the 12th, and Saturday, the 13th, at half-past seven o'clock each night. Dr. McDouall will likewise deliver a discourse in Byker Buildings School Room, Osseburn, on Sunday, the 14th, at ten o'clock in the morning; and in the Joiners' Hall, Newcastle, at two o'clock in the afternoon of the same day. All members of Trades Unions are respectfully requested to attend. The sum of twopence each will be taken at the door, to defray expences.",,Newcastle-upon-tyne,54.9770924,-1.6142059,7,Northern Star,13/02/1841,Meeting
"BIRMINGHAM. - Mr. Taylor will deliver a lecture at the Hall of Science, Lawrence-street, on Sunday next.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,13/02/1841,Meeting
"BRADFORD. - Chartist Sermon,- Mr. John Arran will preach a sermon, to the inhabitants of Daisy Hill, on Sunday evening next, at six o'clock, in the Old Cat Inn; and on the Wednesday evening he will deliver a lecture at the same place, at eight o'clock. On the 22nd instant he has engaged to deliver a lecture to the Chartists of Wapping- at the house of Mr. Carrodns, North Tavern, to commence at eight o'clock in the evening. A public meeting will also be held, on Shrove Tuesday, to adopt memorials to be presented to Lord Normanby, on behalf of Mr. Peddie and Feargus O'Connor, Esq. Notice will be given previously,by placard, of the hour and place.",,Bradford,53.7941567,-1.7494778,7,Northern Star,13/02/1841,Meeting
"OLDHAM. - On Sunday next (to-morrow), a lecture will be delivered in the afternoon, by Mr. James Greaves, of Austerlands; and in the evening, a sermon will be preached by Mr. Abel Swan, of Ashton-under-Lyne, in the Chartist Association Room, Greaves-street.",,Oldham,53.5415797,-2.1147831,7,Northern Star,13/02/1841,Meeting
"BATH. - On Sunday evening next, Mr. C. Bolwell will lecture in the Chartist Room, on ""The Science of Government.""",,Bath,51.3813864,-2.3596963,7,Northern Star,13/02/1841,Meeting
"LOUGHBOROUGH. - A Council Meeting is to be holden to-morrow. The attention of Hathern, Mountsorrel, Sheepshead, Leake, &c. is directed to this meeting.
",,Loughborough,52.7723859,-1.2077985,7,Northern Star,13/02/1841,Meeting
"BRADFORD.   On Monday next, a lecture will be delivered to the Chartists, on   the encroach ments made by Government on the liberties of the people, and on the policy of opposing the crotchets of all sham reformers. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,20/02/1841,Meeting
"STOCKTON.   Dr. M Douall is expected to lecture at Stockton-upon-Tees, in the Association Room, on Monday next.",,Stockton,54.57,-1.32,7,Northern Star,20/02/1841,Meeting
"DURHAM.   Mr. Deegan will lecture as follows, the ensuing week: On Sunday morning, the 21st, at Blaydon, and in the evening at Gates head; Monday, 22nd, at Hartlepool; Tuesday, 23rd, at Middlesborough; Thursday, 25th, at Darlington; Saturday, 27th, at West Auckland; Sunday, 28th, at Evenwood, in the morning, and at Staindrop, at three in the afternoon of the same day.",,Durham,54.7764152,-1.5758539,7,Northern Star,20/02/1841,Meeting
"OLDHAM.   On Sunday next, two lectures will be delivered in the National Charter Association Room, Greaves-street, Oldham; that in the after noon, by Mr. John Greaves, of Shaw; and the other in the evening, by Mr. Thomas Wilson, of Wood Houses, in the parish of Ashton-under-Lyne.",,Oldham,53.5415797,-2.1147831,7,Northern Star,20/02/1841,Meeting
"BIRMINGHAM DISTRICT.   Mr. Dean Taylor lectures this day and to-morrow at West Hampton; on Monday, the 22nd, at Staffordshire Potteries and district up to the 1st of March ; March 2nd, at Nuneaton; March 3rd, at Rugby; March 4th, at Coventry; March 5th, at Warwick; March 6th, at Worcester; March 8th (Sunday), at Bromsgrove; March 9th, at the Birmingham Soiree; March 10th, at Kidderminster; March 11th, at Stourbridge; March 12th, at Dudley; March 15th (Sunday), at Birmingham.",,Birmingham District,52.4813679,-1.8980726,7,Northern Star,20/02/1841,Meeting
"BATH.   To-morrow evening, Mr. Clarke lec tures in the Chartist Room, on the power of know ledge.",,Bath,51.3813864,-2.3596963,7,Northern Star,20/02/1841,Meeting
"SALFORD.   Mr. James Bronterre O Brien.  A ball will be held on Shrove Tuesday evening, in the Chartist Association Room, corner of Great George s-street, Salford, for the benefit of that in comparable patriot. On Monday, a discussion will take place on the best method of obtaining the Charter, and the policy of keeping in or putting out the Whigs from their present snug places.",,Salford,53.4877463,-2.2891921,7,Northern Star,20/02/1841,Meeting
"KEIGHLEY.   Mr. Benjamin Rushton is to preach a funeral sermon for poor Clayton, in the Working Man s Hall, Keighley, on the 14th of March.",,Keighley,53.8684021,-1.9020456,7,Northern Star,20/02/1841,Meeting
"LOUGHBOROUGH DISTRICT.   Messrs. Skevington and Baker will visit Ashby-de-la-Zouch, on Sunday, March 7th, and Melbourne and Castle Donington, on the following day. The friends are requested to get rooms for them if possible.",,Loughborough District,52.7723859,-1.2077985,7,Northern Star,20/02/1841,Meeting
"BILSTON.   The Chartists here are determined to have a public meeting, lecture, and festival, on the afternoon and evening of Monday the 1st of March. Tickets to the festival, 1s. each, may be had at the following places: Mr. Jones, Wolverhampton-street; Mr. Stiran, Green-croft; Mr. Salt, Crown-street; Mr. Mogg s Coffee-House, Snow-hill, Wolverhamp ton.",,Bilston,52.5700229,-2.0822333,7,Northern Star,20/02/1841,Meeting
"BRADFORD.   On Monday next, a lecture will be delivered to the Chartists, on   the encroach ments made by Government on the liberties of the people, and on the policy of opposing the crotchets of all sham reformers. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,06/03/1841,Meeting
"STOCKTON.   Dr. M Douall is expected to lecture at Stockton-upon-Tees, in the Association Room, on Monday next.",,Stockton,54.57,-1.32,7,Northern Star,06/03/1841,Meeting
"DURHAM.   Mr. Deegan will lecture as follows, the ensuing week: On Sunday morning, the 21st, at Blaydon, and in the evening at Gates head; Monday, 22nd, at Hartlepool; Tuesday, 23rd, at Middlesborough; Thursday, 25th, at Darlington; Saturday, 27th, at West Auckland; Sunday, 28th, at Evenwood, in the morning, and at Staindrop, at three in the afternoon of the same day.",,Durham,54.7764152,-1.5758539,7,Northern Star,06/03/1841,Meeting
"OLDHAM.   On Sunday next, two lectures will be delivered in the National Charter Association Room, Greaves-street, Oldham; that in the after noon, by Mr. John Greaves, of Shaw; and the other in the evening, by Mr. Thomas Wilson, of Wood Houses, in the parish of Ashton-under-Lyne.",,Oldham,53.5415797,-2.1147831,7,Northern Star,06/03/1841,Meeting
"BIRMINGHAM DISTRICT.   Mr. Dean Taylor lectures this day and to-morrow at West Hampton; on Monday, the 22nd, at Staffordshire Potteries and district up to the 1st of March ; March 2nd, at Nuneaton; March 3rd, at Rugby; March 4th, at Coventry; March 5th, at Warwick; March 6th, at Worcester; March 8th (Sunday), at Bromsgrove; March 9th, at the Birmingham Soiree; March 10th, at Kidderminster; March 11th, at Stourbridge; March 12th, at Dudley; March 15th (Sunday), at Birmingham.",,Birmingham District,52.4813679,-1.8980726,7,Northern Star,06/03/1841,Meeting
"BATH.   To-morrow evening, Mr. Clarke lec tures in the Chartist Room, on the power of know ledge.",,Bath,51.3813864,-2.3596963,7,Northern Star,06/03/1841,Meeting
"SALFORD.   Mr. James Bronterre O Brien.  A ball will be held on Shrove Tuesday evening, in the Chartist Association Room, corner of Great George s-street, Salford, for the benefit of that in comparable patriot. On Monday, a discussion will take place on the best method of obtaining the Charter, and the policy of keeping in or putting out the Whigs from their present snug places.",,Salford,53.4877463,-2.2891921,7,Northern Star,06/03/1841,Meeting
"KEIGHLEY.   Mr. Benjamin Rushton is to preach a funeral sermon for poor Clayton, in the Working Man s Hall, Keighley, on the 14th of March.",,Keighley,53.8684021,-1.9020456,7,Northern Star,06/03/1841,Meeting
"LOUGHBOROUGH DISTRICT.   Messrs. Skevington and Baker will visit Ashby-de-la-Zouch, on Sunday, March 7th, and Melbourne and Castle Donington, on the following day. The friends are requested to get rooms for them if possible.",,Loughborough District,52.7723859,-1.2077985,7,Northern Star,06/03/1841,Meeting
"BILSTON.   The Chartists here are determined to have a public meeting, lecture, and festival, on the afternoon and evening of Monday the 1st of March. Tickets to the festival, 1s. each, may be had at the following places: Mr. Jones, Wolverhampton-street; Mr. Stiran, Green-croft; Mr. Salt, Crown-street; Mr. Mogg s Coffee-House, Snow-hill, Wolverhamp ton.",,Bilston,52.5700229,-2.0822333,7,Northern Star,06/03/1841,Meeting
"SOUTH LANCASHIRE.   Mr. Jas. Leech will lecture at the following places during the following week-On Sunday, 14th, at Rochdale and Milne Row; Monday, at Salford; Tuesday, at Droylesden; Wednesday, at Chorlton-upon-Medlock; Thursday, at Mottram; Friday, at Ashton; Sunday, 21st, at Failsworth.",,South Lancashire,53.8849416,-2.5758971,7,Northern Star,13/03/1841,Meeting
"FINSBURY.   Mr. Culverhouse lectures  On the best means of obtaining the Charter,  on Mon day evening next, at Lunt s Coffee-rooms, Clerkenwell-green.",,Finsbury,51.5265742,-0.1070713,7,Northern Star,13/03/1841,Meeting
"MILNROW.   Mr. J. Leech, of Manchester, will lecture to-morrow evening, at half-past six o'clock, in the Charter Association Room.",,Milnrow,53.6082511,-2.1099476,7,Northern Star,13/03/1841,Meeting
"LEICESTER.   Mr. Cooper, editor of the Illuminator, will deliver a lecture, in the Room at All Saints' Open, next Monday night, on Our   Glo rious  Constitution. It is intended to hold the Tea meeting in the New Hall, on the 22nd inst., as be fore arranged.",,Leicester,52.6367811,-1.1312289,7,Northern Star,13/03/1841,Meeting
