Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
,,,,,,,,,,,
"DEWSBURY.   A district council meeting will be hold on Sunday, January 15th, in the large room over the Co-operative Store, at two o clock in the afternoon, when delegates are requested to attend from all parts of the district.	",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"On Tuesday, Mr. Samuel Kidd, of Glasgow, and late member of the Conference, will also deliver an address in the same room at seven o clock.",,Sheffield,53.3840547,-1.4683069,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"MIDGLEY. - Mr. Sutcliffe, newsagent, of Boothtown, near Halifax, will lecture in the Charter Association Room, on Sunday, at six o clock in the evening, and Mr. Richard Wheelwright will lecture at the same place on Sunday, the l5th, at six o clock in the evening.",,Midgley,53.6283388,-1.590966,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   Mr. Clisset, of Mill Bridge, will preach two sermons on Sunday, in this place in the afternoon and evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"HOLBECK. - This evening, (Saturday), a lecture will be delivered in the Association Room, Holbeck, by Mr. David Ross, of Manchester. Politicians of all creeds are earnestly invited to attend. To commence at half-past seven o clock.	",,Holbeck,53.7819971,-1.5676975,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"Tomorrow, (Sunday), Mr. Con Murray and Mr. Samuel Kidd, both Glasgow, ae expected to lecture. In the afternoon at half-past six o'clock.",,Holbeck,53.7819971,-1.5676975,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"HALIFAX. - A delegate meeting of this district will be held at Sowerby, on Sunday, at two o'clock in the afternoon. Each locality is particularly requested to appoint delegates to attend.	",,Halifax,53.725,-1.863,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   The South Lancashire Delegate Meeting will be held in the Charter Association Room, Brown-street, on Sunday, (to-morrow.) when it is expected that the Delegates will be punctual in their attendance.",,Manchester,53.4791466,-2.2447445,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"The Monthly Meeting of the members of the National Charter Association will be held in the Carpenter s Hall, on Sunday, (to-morrow,) at ten o'clock in the forenoon.",,Manchester,53.4791466,-2.2447445,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   On Sunday, (to-morrow,) two lectures will bo delivered in the Chartist room, Greaves-street, iu the afternoon at two o clock, by Mr. Clark, of Stockport, and in the evening at six, by Mr. Alderson. of Bradford.",,Oldham,53.5415797,-2.1147831,7,Northern Star,07/01/1842,Meeting,,,
,,,,,,,,,,,
"Messrs. Brown and Martz will visit Manchester by way of Congleton, Macclesfield, and Stockport, during the ensuing week, and will lecture at the above places.",,Messrs,,,7,Northern Star,14/01/1843,Tour,,,
,,,,,,,,,,,
"MOTTRAM.   The Council will meet on Sunday, at two o'clock in the afternoon, at Mr. William Wildgoose s Coffee and News Room, Mottram Moor.",,Mottram,53.4576897,-2.0143757,7,Northern Star,14/01/1843,Meeting,,,
,,,,,,,,,,,
"WEDNESBURY.   A delegate meeting will take place in the Chartist room, Wednesbury, on Sunday, at two o clock, to settle the accounts connected with the prosecution of Mr. John Mason, and the Sedgly victims.",,Wednesbury,52.5521806,-2.0224441,7,Northern Star,14/01/1843,Meeting,,,
,,,,,,,,,,,
"BRADFORD.   The tea-party committee will meet at the council-room, on Sunday, at two o clock in the afternoon. A full attendance is requested.",,Bradford,53.7941567,-1.7494778,7,Northern Star,14/01/1843,Meeting,,,
,,,,,,,,,,,
"Mr. G. Harrison, of Calverton, will give an address at Mrs. Smith s Coffee Rooms, on Sunday, at half-past six in the evening. ",,Nottingham,52.9549771,-1.1511066,7,Northern Star,14/01/1843,Meeting,,,
,,,,,,,,,,,
"EARLSHEATON.   A lecture will be delivered in the Association Room, Earlsheaton, this day (Saturday), by Mr. H. Marsden, from Holmfirth, a young and talented advocate of the rights of man; to commence precisely at eight o'clock in the evening.",,Earlsheaton,53.69399,-1.61552,7,Northern Star,14/01/1843,Meeting,,,
,,,,,,,,,,,
"A Lecture will be given at the Prince of Wales, No. 9, Little Coram-street, Russell-Square, on the effects likely to emanate from a repeal of the Corn Laws.",,Russell Square,51.5236933,-0.12552,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"MARYLEBONE.   A funeral sermon will be preached at the Working Men s Hall, Circus-street, on the death of Mr. Lane and Mr. Finletter, on Suuday evening next, by Mr. Savage.",,Marylebone,51.5203722,-0.16248,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"LITTLETOWN-IN-LIVERSEDGE.   Two sermons will be preached at this place, on Sunday, by Mr. Luke Bradley, of Lockwood, when collections will be made towards liquidating the expences of the Room. Service to commence in the afternoon, at half-past two, and in the evening at six.",,Littletown-in-liversedge,53.715,-1.696667,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"An East and North Riding Delegate Meeting will be held at Selby, on Sunday, February 5th, at Mr. Woodall s, Temperance Hotel, at ten o clock in the forenoon, when it is hoped that every place that can send delegates will do so ; those towns who cannot send delegates must not fail to send their opinions by letter. Those localities who cannot support a lecturer must state so by letter, addressed to E. Burley, 19, Bilton-street, Layerthorpe, York. Any Chartist lecturer wishing to become a candidate for the lectureship of the East and North Riding district, must forward his address, with credentials from tho Secretary of the locality in which he resides, before the 2nd of February, addressed as above.",,Selby,53.781789,-1.070309,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"WAKEFIELD.   This evening (Saturday) Mr. D. Ross will lecture in the old Mechanic s Institution, Crown Court, Wood-street, at seven o clock. Chartists attend !",,Wakefield,53.6825669,-1.5000466,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
